ID Post,User Name,Comments,Sentiments
1,Yanise Yanise,سلام عليكم ورحمة لديا مشكلة تعبئة بدات تنقص قليل قليل الى بعدها الى بعدها الى اين ذهبت الوحدات تاعي لن اتكلم لم اتصل ليس خاصية رنتي اذن اين مالي الشيء اخي ماهذا لابد استرجاعه,Negatif
1,Jj Kie,عام انتم بخير,Positif
1,Sakou Younes,عام وانتم بخير,Positif
1,راني نعاني,عام وحنا بخير,Positif
1,أحمد فيراس,حب,Positif
1,مروان سيدهم سيدهم مروان,عام وانتم بخير واتمنا رد لماذا اسئلة لماذا لحاص وكل عام وانتم بخير,Positif
1,Mostefa Merabti,سعيدة جديدة سنة,Positif
1,وليد برك,اي عروض مدم رن,Neutre
1,Aymen Aymen,تحيا جازي,Positif
1,Maram Akram,bonne annee a tous,Positif
1,Plako Platr Ba 13,فرح,Neutre
1,Lina Sami,كيفه نحول عروض جازي منفرد لكي نرجعها هايلة كثيرا,Neutre
1,Yakoub Boussebsi,سنة سعيدة ورجعونا,Positif
1,Hamza Othmani,بداية سنة سيئة جدا لقد قطع شبكة ضلم مصلحة الزبائن لا ترد عيب,Negatif
1,RED ROSE,حب حب حب حب,Positif
1,Mohamed Mellak,عام سعيد,Positif
1,جمعية الحي أبناء الغد لعياضات -قصر الأبطال-,نحيطكم علما انا قريتنا قرية لعياضات التابعة لبلدية قصر الابطال دائرة ولمان ولاية سطيف ان شبكة انترنت جازي تنعدم تماما قريتنا نرجو منكم ايجاد حل لهذه المشكلة,Negatif
1,Sàm Fàràh Mehimdà,مرة تسرقوا لماذا تخلونا نبدلوا الخط,Negatif
1,Şàłàh Şğhïr,عام وانتم بالف خير,Positif
1,Sofiane Sofiane,لماذا ديتولي مرة راكم ديروهالي,Negatif
1,Lamine Jseb,بيه شبكة اليوم لا يوجد انترنت ساعات,Negatif
1,マウンテ ンライト,بهد مناسبة تبرع علينا انترنت فرح,Neutre
1,Bnamer Boutayeb,اصلاح تطبيق نتاعكم,Negatif
1,ゞゞじ づ づ,افعلو اي شيء خاص انترنت,Neutre
1,كنوش سمير,لا يوجد انترنت فرح حزن,Negatif
1,Fati Fati,راني مشاركة معاكم اي نهار فرحونا بهديه,Neutre
1,Sofiane Renault Medea,بطيءة,Negatif
1,Sifadine Mehdi,شبكة ما يذهب ياتي,Negatif
1,Añdřeä Añdřeä,تردون ريزو,Negatif
1,Nabil Issam,ريقلونا رب شبكة,Negatif
1,Abdo Gros,malheureusement reseau etait coupe men hata maintenant wala plus niveau alger yahsra autres wilaya ni excuses ni rien bon souhaitant amelioration cette annee incha allah,Negatif
2,Abdelghani Tahtah,ماهو الكود خاص قرض,Neutre
2,أحمد فيراس,جيد,Positif
2,Œœ Œœ,كيفاه نسلف عشرالاف,Neutre
2,Riad BM,يبعثلي فرح فرح,Neutre
2,Amine Boudiaf,رجعونا عروض امتياز نزع,Negatif
2,زين الدين ابن البوادي,اود معرفة كيفية سرقة رصيدي الرجاء التوضيح رقمين جازي دائما لا اجد الرصيد djezzy,Negatif
2,Amani Amina,رقم خدمة سلفي,Neutre
